ticker,period,strategy_return_pct,strategy_cagr_pct,strategy_max_dd_pct,strategy_sharpe,strategy_trades,strategy_win_rate_pct,bh_return_pct,bh_cagr_pct,bh_max_dd_pct,bh_sharpe,spy_bh_return_pct,spy_bh_cagr_pct
AAPL,full_history,790.7402353579672,14.143775178391094,-28.5076086390874,0.6241851230215754,47,48.93617021276596,5109.413338428346,27.014057897216315,-43.79717281414574,0.9929967614947698,778.816706631945,14.050760997393464
AAPL,in_sample_2010_2018,169.90583614752643,11.679767211320735,-24.72331762598685,0.5775227401620125,26,50.0,484.1974770904928,21.69803287263239,-43.79717281414574,0.8937835766117094,164.33829794009006,11.421089177580912
AAPL,out_of_sample_2019_present,214.58312133478995,16.422326475835504,-28.482422975427724,0.6651479325996051,20,45.0,790.7047790202871,33.66092268138527,-33.36051205155708,1.0996947565930815,232.11358536755148,17.262971610940745
MSFT,full_history,252.84703877537288,7.925616476676844,-40.192960931463595,0.37787446040372796,45,48.888888888888886,1610.2153582272977,18.73795557569713,-37.14848142683728,0.7963118923822169,778.816706631945,14.050760997393464
MSFT,in_sample_2010_2018,108.84753717342252,8.53819605681565,-27.513176404332196,0.4416995274268152,24,50.0,310.86645318286264,17.02461975097298,-26.36559119157031,0.7988385126402628,164.33829794009006,11.421089177580912
MSFT,out_of_sample_2019_present,29.50334406783004,3.4895992181361635,-40.08861783237947,0.16594771734221414,20,45.0,318.09837030106064,20.900238301280382,-37.14848142683728,0.8056834080357396,232.11358536755148,17.262971610940745
GOOGL,full_history,537.3014987542268,11.855241905918245,-41.41322930737717,0.5100877028550381,43,53.48837209302325,2130.5230205705298,20.661206421221866,-44.32004884569879,0.8154788588199654,778.816706631945,14.050760997393464
GOOGL,in_sample_2010_2018,100.51369278494924,8.047573845392385,-27.717483339843596,0.408563165416213,24,50.0,233.12011310675013,14.325190018774038,-30.423595771943262,0.6699985383638039,164.33829794009006,11.421089177580912
GOOGL,out_of_sample_2019_present,198.56019359915769,15.617645298884675,-41.29494983477908,0.5898344245634832,18,55.55555555555556,563.414185586891,28.537253538709926,-44.32004884569879,0.9594005199498912,232.11358536755148,17.262971610940745
AMZN,full_history,306.0533735883186,8.84646777651843,-55.64431264503247,0.32933036779519115,42,50.0,3592.7556294025976,24.39759666056487,-56.14526325328263,0.8311207623565887,778.816706631945,14.050760997393464
AMZN,in_sample_2010_2018,379.2837936199807,19.047234626940114,-39.756056554444626,0.6557532705050576,20,70.0,1021.7102492494355,30.859248889248892,-34.10378304630068,1.0061366517011403,164.33829794009006,11.421089177580912
AMZN,out_of_sample_2019_present,-16.06332598274228,-2.2964334582595614,-55.51521944861625,-0.09701447103279437,21,28.57142857142857,221.25941895392037,16.74715750852467,-56.14526325328263,0.6271082633631422,232.11358536755148,17.262971610940745
JPM,full_history,365.3872305776799,9.748187232260562,-24.92694323451917,0.4949145790368182,41,53.65853658536586,1111.6206603096907,16.28799744118201,-43.62650765668868,0.687450520327349,778.816706631945,14.050760997393464
JPM,in_sample_2010_2018,95.3493407482122,7.734368139990533,-23.234841844846365,0.43299243272710597,22,45.45454545454545,180.9870465034679,12.180810048347212,-39.66263512548116,0.5766261748394708,164.33829794009006,11.421089177580912
JPM,out_of_sample_2019_present,147.10754909599518,12.752334277865774,-23.57637990916739,0.5859486698386787,18,66.66666666666666,323.86358066528766,21.120107934625022,-43.62650765668868,0.7984465354721121,232.11358536755148,17.262971610940745
JNJ,full_history,53.736878619938665,2.635725564043634,-33.650719596881295,0.21272365136327961,51,41.17647058823529,532.998468674824,11.809410390221121,-27.36624413634497,0.7421456554556394,778.816706631945,14.050760997393464
JNJ,in_sample_2010_2018,13.973778151823591,1.465834443694436,-26.560239633064096,0.13262163468551552,29,41.37931034482759,162.283013360137,11.324371932710008,-18.282833189029844,0.797512484483255,164.33829794009006,11.421089177580912
JNJ,out_of_sample_2019_present,38.204376247816604,4.386301633103273,-22.63265950546459,0.32034405199783156,21,42.857142857142854,143.79764237130695,12.55078751911094,-27.36624413634497,0.710605638856335,232.11358536755148,17.262971610940745
PG,full_history,46.136077868477514,2.3214034895264524,-32.064956468563,0.18957106562061957,46,43.47826086956522,296.1321346035052,8.68371447670151,-25.46415897296307,0.5665625247999158,778.816706631945,14.050760997393464
PG,in_sample_2010_2018,46.34114236633446,4.327268080134905,-15.167418211396178,0.38613135330883064,21,52.38095238095239,100.4076549252443,8.041215364660292,-25.46415897296307,0.6030088769428066,164.33829794009006,11.421089177580912
PG,out_of_sample_2019_present,-22.80612264365628,-3.3759515726106804,-32.01209968587886,-0.28702665116970044,23,30.434782608695656,99.04909303268667,9.563041706246755,-23.772456913618388,0.5537606479081566,232.11358536755148,17.262971610940745
XOM,full_history,34.111212121852624,1.7912865280302448,-50.330433096941206,0.09979091699327895,47,36.17021276595745,294.25038718747527,8.652413790401091,-62.39596907525752,0.4574084114596744,778.816706631945,14.050760997393464
XOM,in_sample_2010_2018,-10.192825963614577,-1.1889257050630708,-36.1319723123336,-0.09479570780231437,26,34.61538461538461,30.01426278739261,2.9632073863134156,-31.54262677264577,0.2503128517489367,164.33829794009006,11.421089177580912
XOM,out_of_sample_2019_present,47.321797078347025,5.2748336824860464,-34.231817358671535,0.2274733109075985,20,35.0,196.7095114772953,15.522304573577394,-60.34737617053185,0.6216181282179858,232.11358536755148,17.262971610940745
KO,full_history,30.02062937005845,1.6007272786952687,-24.158377162120214,0.11860252799680127,50,48.0,374.04118769794474,9.870572695595392,-36.98749606634142,0.6356322954655806,778.816706631945,14.050760997393464
KO,in_sample_2010_2018,14.002338066449681,1.4686628563919113,-17.978910120026427,0.1270918539371426,27,48.148148148148145,118.97830820855009,9.111696118713164,-13.849548625379073,0.6737800948849926,164.33829794009006,11.421089177580912
KO,out_of_sample_2019_present,28.819794456299224,3.4169608629203596,-24.146102268336545,0.2217939965337262,21,47.61904761904761,118.41592436148952,10.921061610713402,-36.98749606634142,0.6229662138774559,232.11358536755148,17.262971610940745
DIS,full_history,369.62866873764153,9.808434973341363,-37.79791259261193,0.5180733949318284,39,53.84615384615385,260.6228008714857,8.068020595846924,-60.71516453993458,0.4264253669981853,778.816706631945,14.050760997393464
DIS,in_sample_2010_2018,208.04282697155836,13.334048649288333,-20.222425470422223,0.756650232032057,19,52.63157894736842,287.7941857617849,16.274587458273526,-34.195581562071986,0.8278735951032292,164.33829794009006,11.421089177580912
DIS,out_of_sample_2019_present,51.44990549626435,5.661533761866244,-37.76482192486653,0.2834655653645179,19,52.63157894736842,-6.426354640537369,-0.8773642259802816,-60.71516453993458,0.1301545730943847,232.11358536755148,17.262971610940745
